Name,Code for scientific name and authority in lookup table,Plot number,National Forest or other area,Latitude (decimal degrees),Longitude (decimal degrees),Wilderness Area,Region,Year of tissue collection,Chromium (ppm dw),Copper (ppm dw),Managanese (ppm dw),Nitrogen (% dw),Phosphorous (ppm dw),Potassium (ppm dw),Sulfur (% dw),Elevation (ft),Air pollution score,Taxonomic authority,Common name,AQ Rating,codename,sci_name
Platismatia glauca,plagla,1046116,Umpqua National Forest,42.99,-122.69,,6.0,1999.0,0.56,7.86,227.96,0.394,1065.64,2133.6,0.051,2300.0,-0.435,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1142176,Mt. Hood National Forest,45.35,-121.63,Mount Hood Wilderness,6.0,1997.0,0.68,1.24,73.1,0.357,581.2,1672.0,0.032,5600.0,-0.32,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,flacap,LocustSpring159,George Washington and Jefferson National Forest,38.583,-79.654,,89.0,1995.0,,,,1.3,,,0.12,3772.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,1166148,Gifford Pinchot National Forest,45.94,-122.11,,6.0,1997.0,1.02,13.26,99.06,0.359,876.7,2228.0,0.07,2800.0,-0.049,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
shrubby Usnea,usnea,CRG06B,Columbia River Gorge National Scenic Area,45.576,-122.193,,6.0,1998.0,2.2,4.8,131.8,1.16,1237.0,4445.0,0.136,200.0,0.409,,Beard lichen,,,shrubby Usnea
Alectoria sarmentosa,alesar,Carmen2,Willamette National Forest,44.273,-122.046,,6.0,1993.0,0,10.0,64.0,0.38,618.0,2109.0,0.031,2850.0,-0.463,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Alectoria sarmentosa,alesar,TNF550,Tongass N.F.,55.976,-130.053,,10.0,2009.0,,,,,,,0.024,151.0,-0.844,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Sphaerophorus globosus,sphglo,1078124,Willamette National Forest,43.78,-122.55,,6.0,1997.0,0.7,6.58,140.3,0.55,638.1,1644.0,0.041,1800.0,-0.129,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
,evepru,ARM109B,Columbia River Gorge National Scenic Area,45.726,-121.552,,6.0,1994.0,1.2,18.5,67.6,0.97,1423.0,3384.0,0.105,90.0,1.042,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Hypogymnia inactiva,hypina,CRG29,Columbia River Gorge National Scenic Area,45.746,-121.555,,6.0,2009.0,1.692,5.566,76.1,1.226,1302.2,4018.9,0.087,1092.0,1.051,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Letharia vulpina,letvul,1052176A,Fremont-Winema National Forests,43.13,-121.68,,6.0,1999.0,0.624,1.022,118.58,0.593,554.56,2126.3,0.051,5000.0,-0.709,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,1084144,Willamette National Forest,43.92,-122.21,,6.0,1996.0,0.76,2.68,460.7,0.32,824.0,1602.0,0.047,4800.0,-0.201,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1120160,Mt. Hood National Forest,44.81,-121.92,,6.0,2004.0,0.473,1.507,324.32,0.42,376.98,1482.3,0.036,4100.0,-0.725,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,alwil,,,,,,6.0,2012.0,0.175,0.816,257.72,0.436,436.79,1794.6,0.038,,,,,,,
,ak alwil,,,,,,10.0,2012.0,,,,,,,0.031,,,,,,,
,letcol,1030168,Fremont-Winema National Forests,42.59,-121.83,,6.0,2000.0,0.636,2.113,36.55,,492.54,1955.1,,4900.0,-0.393,(Nutt.) J.W. Thomson,Wolf lichen,intermediate,letcol,Letharia columbiana
Alectoria sarmentosa,alesar,1116164,Willamette National Forest,44.71,-121.85,Mount Jefferson Wilderness,6.0,1995.0,,,,0.24,,,,4900.0,-0.373,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,orchard 1030,,,,,,10.0,2011.0,,,,2.31,,,0.165,,,,,,,
,xancum,Kirk0,Wallowa-Whitman National Forest,45.569,-116.498,,6.0,2000.0,4.84,7.6,91.0,1.67,1762.14,3614.6,0.09,1210.0,2.616,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
,evepru,BearCr,Medford,42.32,-122.851,,6.0,2000.0,1.76,15.44,146.04,1.75,2092.8,4433.0,0.122,1200.0,1.095,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Hypogymnia inactiva,hypina,ARM164,Mt. Hood National Forest,45.447,-122.151,,6.0,1993.0,5,5.9,175.2,0.9,893.0,3037.0,0.084,877.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Platismatia glauca,plagla,FIA025,Columbia River Gorge National Scenic Area,45.691,-121.998,,6.0,2000.0,1.272,2.462,239.19,0.534,567.99,2275.9,0.069,2673.0,0.171,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1160152,Gifford Pinchot National Forest,45.8,-122.04,,6.0,2005.0,,,,,,,0.114,2800.0,0.08,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,blank,,,,,,6.0,2012.0,,,,0.003,,,0.002,,,,,,,
Hypogymnia inactiva,hypina,HJA311,Willamette National Forest,44.24,-122.29,,6.0,2000.0,2.92,89.9,570.62,0.312,1068.26,2383.4,0.048,2150.0,,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,parsul,MtEisenhowerB,White Mountain National Forest,44.217,-71.333,Presidential Range-Dry River Wilderness,89.0,1993.0,0.9,6.4,160.4,,1249.0,2868.0,0.1,4400.0,,Taylor,Shield lichen,most tolerant,,
Platismatia glauca,plagla,1124168,Mt. Hood National Forest,44.91,-121.78,,6.0,1994.0,1.1,2.5,882.7,0.32,975.0,1792.0,0.042,4300.0,-0.735,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Sphaerophorus globosus,sphglo,1108052,Siuslaw National Forest,44.52,-123.78,,6.0,1995.0,0.5,5.0,29.6,0.46,654.0,1684.0,0.041,800.0,-0.073,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Platismatia glauca,plagla,1264200,Mt Baker-Snoqualmie National Forest,48.34,-121.11,Glacier Peak Wilderness,6.0,2012.0,0.68,2.31,580.81,0.441,867.47,2004.0,0.041,4300.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,parstu,HighcockKnobA,George Washington and Jefferson National Forest,37.562,-79.452,James River Face Wilderness,89.0,1987.0,,,,,,,0.26,2435.0,,(Taylor) Hale,Eyelash lichen,,,
,rlv,,,,,,6.0,2009.0,0.485,4.527,48.208,2.25,2209.2,9547.5,0.198,,,,,,,
Letharia vulpina,letvul,1046196,Fremont-Winema National Forests,42.98,-121.35,,6.0,2000.0,0.618,1.202,356.49,0.605,1052.5,3049.6,0.058,6500.0,-0.37,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,Starkey6,Wallowa-Whitman National Forest,45.22,-118.475,,6.0,1998.0,5.72,11.02,79.52,0.456,1030.0,2734.0,0.056,3825.0,0.058,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,1138416,Wallowa-Whitman National Forest,45.12,-117.46,Eagle Cap Wilderness,6.0,1999.0,,,,,,,0.092,8000.0,-0.13,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,evepru,ARM160,Columbia River Gorge National Scenic Area,45.612,-121.999,,6.0,1994.0,,,,0.92,,,0.112,200.0,0.509,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
,tobacco1011,,,,,,6.0,2009.0,,,,,,,0.554,,,,,,,
Letharia vulpina,letvul,GosHmp03,Nez Perce National Forest,45.615,-115.935,Gospel-Hump Wilderness,14.0,2009.0,3.63,4.02,54.36,0.09,560.0,2600.0,0.066,,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,apple1515,,,,,,6.0,2000.0,,,,,,,0.18,,,,,,,
,usnsubl,Salmon41,Salmon-Challis National Forest,44.742,-113.63,,14.0,1994.0,,2.63,93.6,,,2340.0,0.089,7600.0,,Stirton,Beard lichen,intermediate,usnsubl,Usnea sublaxa
Alectoria sarmentosa,alesar,1082144,Willamette National Forest,43.88,-122.21,,6.0,2005.0,0.28,2.039,130.56,0.473,789.53,2577.7,0.086,2400.0,0.047,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,rice 1008,,,,,,6.0,2012.0,,,,,,,0.088,,,,,,,
Alectoria sarmentosa,alesar,TNF159B,Tongass N.F.,55.579,-132.631,Karta River Wilderness,10.0,2004.0,,,,,,,0.026,30.0,-1.073,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,xancum,SanRio03,San Juan National Forest,37.452,-108.011,,14.0,1993.0,2.7,10.5,62.6,,1130.0,5480.0,0.123,11700.0,,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
,clasub,PineyRidgeA,George Washington and Jefferson National Forest,37.581,-79.454,James River Face Wilderness,89.0,1987.0,,,,,,,0.06,1808.0,,,,,,
Sphaerophorus globosus,sphglo,1172156,Gifford Pinchot National Forest,46.09,-121.97,,6.0,2005.0,0.585,1.914,135.93,0.318,769.78,2185.6,0.031,1600.0,-0.392,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Letharia vulpina,letvul,1076212,Deschutes National Forest,43.71,-121.06,,6.0,2005.0,0.63,2.079,73.268,0.593,494.95,2174.7,0.056,5300.0,-0.664,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,claran,CHUG22A,Chugach N.F.,60.828,-147.851,,10.0,1993.0,1.99,2.6,28.22,,334.79,534.1,,91.0,,(L.) Nyl.,Reindeer lichen,sensitive,,
,blank,,,,,,6.0,2010.0,,,,-0.005,,,,,,,,,,
Alectoria sarmentosa,alesar,MTHW27,Mt. Hood National Forest,45.397,-121.591,Mount Hood Wilderness,6.0,1993.0,0.4,1.1,325.7,0.35,786.0,2001.0,0.031,3600.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1136172,Mt. Hood National Forest,45.2,-121.7,,6.0,1996.0,1.34,2.18,252.7,0.34,540.0,1574.0,0.049,4200.0,-0.182,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Letharia vulpina,letvul,NCL-1,Deschutes National Forest,43.712,-121.275,,6.0,1994.0,1,1.8,141.1,0.51,625.0,1917.0,0.048,6350.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,rice1008,,,,,,6.0,2011.0,,,,,,,0.097,,,,,,,
,orchard3.66,,,,,,6.0,2004.0,,,,3.66,,,0.326,,,,,,,
Platismatia glauca,plagla,1168156,Gifford Pinchot National Forest,45.99,-121.97,,6.0,2005.0,0.734,6.946,198.7,0.509,602.04,1879.6,0.093,3000.0,-0.025,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,TNF037,Tongass N.F.,57.212,-133.499,,10.0,1989.0,0.3,0.26,64.0,,444.0,1225.0,0.043,15.0,-0.763,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,blank,,,,,,6.0,1997.0,,,,,,17.48,,,,,,,,
Platismatia glauca,plagla,1036096,Umpqua National Forest,42.75,-123.03,,6.0,2007.0,1.147,2.062,101.9,0.548,680.41,2021.8,0.056,3400.0,-0.211,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,TNF072,Tongass N.F.,55.367,-132.443,,10.0,1990.0,1.1,0.85,61.0,,129.0,896.0,0.037,323.0,-1.125,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,evepru,ARM122,Columbia River Gorge National Scenic Area,45.655,-121.926,,6.0,2004.0,1.428,6.611,39.924,1.22,543.04,2061.3,0.11,140.0,0.499,(L.) Ach.,Antler lichen,most tolerant,evepru,Evernia prunastri
Bryoria fremontii,bryfre,1078180,Deschutes National Forest,43.77,-121.6,,6.0,1994.0,1,12.8,71.6,1.65,1264.0,3391.0,0.087,4300.0,-0.777,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
,orchard0.201,,,,,,6.0,2000.0,,,,,,,0.208,,,,,,,
Letharia vulpina,letvul,30_BOZSY_2011,,45.738,-110.986,,14.0,2011.0,,,,1.42,,,0.106,6529.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Bryoria fremontii,bryfre,1178180,Gifford Pinchot National Forest,46.23,-121.54,Mount Adams Wilderness,6.0,2005.0,0.592,4.368,48.087,1.073,1236.4,4535.3,0.159,6200.0,-0.878,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
,xancum,HCDam,Wallowa-Whitman National Forest,45.246,-116.699,Hells Canyon Wilderness,6.0,2010.0,,,,,,,0.125,1534.0,2.766,(Gyelnik) Hale,Questionable rockfrog,sensitive,xancum,Xanthoparmelia cumberlandia
Alectoria sarmentosa,alesar,1144168,Mt. Hood National Forest,45.4,-121.77,Mount Hood Wilderness,6.0,1994.0,,,,,,,0.04,4400.0,-0.525,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,rhipel,UintaF2A,Klamath National Forest,41.83,-122.63,,14.0,1995.0,11.7,11.7,80.4,,,4200.0,0.09,,,(Ramond) Leuckert & Poelt,Rock brooch,,rhipel,Rhizoplaca peltata
,bcr482,,,,,,6.0,2010.0,,,,,,,0.234,,,,,,,
Platismatia glauca,plagla,BRun332,Mt. Hood National Forest,45.415,-122.123,,6.0,2000.0,1.72,7.08,44.08,0.852,840.04,3035.2,0.091,1120.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1102148,Willamette National Forest,44.37,-122.13,,6.0,1996.0,1.14,2.16,346.7,0.4,796.0,1789.0,0.046,3800.0,-0.268,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,alesartnf,,,,,,10.0,1990.0,0.11,0.94,82.0,,189.0,1126.4,0.027,,,,,,,
Letharia vulpina,letvul,Heyburn,Coeur d'Alene Indian Reservation,47.359,-116.779,,6.0,2003.0,1.039,1.982,165.0,0.74,1047.8,3034.9,0.06,2270.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Sphaerophorus globosus,sphglo,1092044,Siuslaw National Forest,44.12,-123.92,,6.0,2005.0,0.509,1.705,18.789,0.4,712.91,1613.8,0.032,700.0,-0.649,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
Platismatia glauca,plagla,1128164MB,Mt. Hood National Forest,45.01,-121.85,,6.0,2004.0,1.387,2.319,463.4,0.486,862.99,1738.5,0.051,3600.0,0.49,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia enteromorpha,hypent,MTHW24,Mt. Hood National Forest,45.382,-121.836,Mount Hood Wilderness,6.0,1993.0,1.6,4.0,193.9,0.52,1112.0,2402.0,0.047,2360.0,,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
Letharia vulpina,letvul,1076192,Deschutes National Forest,43.72,-121.4,,6.0,1996.0,0.82,1.36,53.94,0.55,576.0,2113.0,0.05,4400.0,-0.566,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,1060120,Umpqua National Forest,43.34,-122.62,,6.0,1997.0,0.32,5.42,119.2,0.403,563.4,1753.0,0.033,3600.0,-0.535,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Hypogymnia inactiva,hypina,1194136,Gifford Pinchot National Forest,46.63,-122.38,,6.0,1995.0,2.2,5.3,103.5,0.58,713.0,2914.0,0.077,3600.0,0.07,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
Alectoria sarmentosa,alesar,1150168,Mt. Hood National Forest,45.55,-121.77,,6.0,1994.0,0.4,1.1,138.7,,407.0,1754.0,,3600.0,0.457,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,SIS2,Six Rivers National Forest,41.903,-123.64,Siskiyou Wilderness,6.0,2011.0,0.23,0.73,175.67,0.638,691.65,1768.1,0.045,5841.0,-0.354,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Platismatia glauca,plagla,CRG13B,Columbia River Gorge National Scenic Area,45.623,-122.076,,6.0,1998.0,,,,0.788,,,,600.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia enteromorpha,hypent,1070144,Willamette National Forest,43.58,-122.21,,6.0,1995.0,1.3,6.9,,,1149.0,2656.0,,4400.0,-0.497,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
,flacap,Monong069A,Monongahela National Forest,38.958,-79.634,Otter Creek Wilderness,89.0,1987.0,3.307,8.839,163.7,,805.0,2724.0,0.134,3742.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,CRG82,Columbia River Gorge National Scenic Area,45.725,-121.877,,6.0,2009.0,0.771,7.502,36.225,,1143.0,3328.4,,1101.0,,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,claran,CHUG29,Chugach N.F.,60.374,-149.973,,10.0,1994.0,0.47,0.91,62.78,,448.81,738.16,0.03,183.0,,(L.) Nyl.,Reindeer lichen,sensitive,,
,flacap,LocustSpring157,George Washington and Jefferson National Forest,38.575,-79.619,,89.0,1995.0,,,,1.3,,,0.14,3571.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Letharia vulpina,letvul,SelBit20,Bitterroot National Forest,45.717,-114.502,Selway-Bitterroot Wilderness,14.0,1994.0,,0.84,90.4,,,2110.0,0.035,6600.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,TNF199,Tongass N.F.,56.208,-131.652,,10.0,1991.0,0.14,0.86,73.47,0.21,223.87,1198.44,0.021,46.0,-0.821,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,ARM167,Columbia River Gorge National Scenic Area,45.55,-121.219,,6.0,2009.0,1.165,6.525,66.64,1.54,1256.0,4391.6,0.144,1500.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Alectoria sarmentosa,alesar,CHUG78,Chugach N.F.,61.009,-148.081,,10.0,2012.0,0.834,3.095,316.15,0.535,1897.9,4555.1,0.036,36.0,,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Letharia vulpina,letvul,30_MISB1_2011,,47.026,-113.988,,14.0,2011.0,,,,1.42,,,0.106,6616.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,flacap,StMarys102,George Washington and Jefferson National Forest,37.952,-79.075,,89.0,1995.0,,,,1.3,,,0.16,3419.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Alectoria sarmentosa,alesar,TNF145B,Tongass N.F.,58.352,-135.654,Pleasant-Lemesurier-Inian Islands Wilderness,10.0,2004.0,,,,0.316,,,,168.0,-1.468,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Hypogymnia inactiva,hypina,1160156,Gifford Pinchot National Forest,45.79,-121.97,,6.0,1996.0,1.26,3.64,479.1,0.45,883.0,2699.0,0.071,2500.0,-0.025,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,flacap,Monong092A,Monongahela National Forest,39.011,-79.376,Dolly Sods Wilderness,89.0,1987.0,2.319,11.04,216.9,,911.5,3001.0,0.16,3681.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Letharia vulpina,letvul,Stark529,Wallowa-Whitman National Forest,45.202,-118.473,,6.0,2000.0,0.677,2.35,53.333,0.883,656.26,2513.7,0.084,4150.0,,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,flacap,Monong067B,Monongahela National Forest,38.963,-79.654,Otter Creek Wilderness,89.0,1992.0,,7.943,315.829,1.433,851.057,2239.55,0.16,3219.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Bryoria fremontii,bryfre,1188168,Gifford Pinchot National Forest,46.48,-121.74,,6.0,2004.0,0.646,2.716,181.19,0.566,795.44,2256.3,0.063,4300.0,-1.521,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
Hypogymnia enteromorpha,hypent,OD-2,Siuslaw National Forest,43.782,-124.158,,6.0,1994.0,3.7,3.9,53.3,0.52,758.0,2303.0,0.076,,-0.311,(Ach.) Nyl.,Tube lichen,intermediate,hypent,Hypogymnia enteromorpha
,crm482,,,,,,6.0,2003.0,2.092,6.167,26.616,,624.92,3286.2,,,,,,,,
Hypogymnia inactiva,hypina,1094160,Willamette National Forest,44.17,-121.93,,6.0,1995.0,1,19.0,136.4,0.52,1251.0,3054.0,0.056,3800.0,0.004,(Krog) Ohlsson,Tube lichen,tolerant,hypina,Hypogymnia inactiva
,umbame,AnaPin03,Beaverhead-Deerlodge National Forest,45.862,-113.439,Anaconda Pintler Wilderness,14.0,2000.0,2,12.0,63.0,,1921.0,5870.0,0.139,6400.0,,Poelt & T. Nash,Frosted rocktripe,,umbame,Umbilicaria americana
Platismatia glauca,plagla,CRG536,Columbia River Gorge National Scenic Area,45.731,-121.841,,6.0,2003.0,3.558,4.525,77.36,0.93,1058.9,3165.0,0.09,1230.0,0.137,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1140176,Mt. Hood National Forest,45.3,-121.63,Badger Creek Wilderness,6.0,2005.0,1.81,5.465,316.37,0.813,528.98,1853.0,0.092,5000.0,0.088,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1060136,Umpqua National Forest,43.33,-122.35,,6.0,1999.0,1.36,5.46,109.14,0.903,896.78,1854.92,0.049,4400.0,-0.558,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Platismatia glauca,plagla,1086124,Willamette National Forest,43.98,-122.55,,6.0,2004.0,2.009,2.819,253.81,0.658,712.37,2147.7,0.049,1200.0,-0.306,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,alesarmth,,,,,,6.0,1999.0,1.78,1.74,97.04,0.379,455.98,1643.46,0.043,,,,,,,
Sphaerophorus globosus,sphglo,1122048-N,Siuslaw National Forest,44.865,-123.863,,6.0,1994.0,0.5,1.8,32.3,0.43,920.0,2040.0,0.047,1000.0,-0.765,(Hudson) Vainio,Coral lichen,intermediate,sphglo,Sphaerophorus globosus
,pine1575,,,,,,6.0,1997.0,,,,,,,0.197,,,,,,,
Letharia vulpina,letvul,1040160,Fremont-Winema National Forests,42.84,-121.95,,6.0,2007.0,0.47,1.684,49.067,0.872,657.74,2645.6,0.051,5100.0,-0.558,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
,isomyo,DDouglas,Vancouver,45.63,-122.598,,6.0,1996.0,3.6,11.7,92.2,2.36,2695.0,6085.0,0.182,200.0,0.571,,,,isomyo,Isothecium myosuroides
Platismatia glauca,plagla,1178156SB,Gifford Pinchot National Forest,46.24,-121.96,,6.0,1997.0,1.1,14.9,160.4,,722.0,1778.0,,3100.0,-0.482,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
,alesarwil,,,,,,6.0,2006.0,,,,0.51,,,0.037,,,,,,,
Letharia vulpina,letvul,1076168,Deschutes National Forest,43.72,-121.8,,6.0,1995.0,,,,,,,0.055,4700.0,0.186,(L.) Hue,Wolf lichen,tolerant,,Letharia vulpina
Bryoria fremontii,bryfre,1066160,Deschutes National Forest,43.48,-121.94,,6.0,1997.0,0.8,16.42,234.7,,751.8,3166.0,0.08,4900.0,-1.198,(Tuck.) Brodo & D. Hawksw.,Horsehair lichen,sensitive,bryfre,Bryoria fremontii
shrubby Usnea,usnea,1186156,Gifford Pinchot National Forest,46.43,-121.96,,6.0,1995.0,1.1,3.3,228.0,,1530.0,3977.0,,2000.0,0.075,,Beard lichen,,,shrubby Usnea
Alectoria sarmentosa,alesar,1060152,Umpqua National Forest,43.33,-122.08,,6.0,1999.0,0.46,3.86,616.78,0.2,457.38,1446.18,0.027,5100.0,-0.392,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
,moss,,,,,,6.0,2009.0,,,,0.111,,,0.111,,,,,,,
Alectoria sarmentosa,alesar,TNF039,Tongass N.F.,56.763,-132.933,,10.0,1989.0,0.3,0.73,116.0,,329.0,1253.0,0.039,,-0.944,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1190168,Gifford Pinchot National Forest,46.53,-121.74,,6.0,2004.0,1.19,3.213,76.091,0.558,825.67,2117.1,0.06,2200.0,-0.511,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia imshaugii,hypims,1008040,Rogue River-Siskiyou National Forests,42.05,-123.95,Kalmiopsis Wilderness,6.0,2012.0,,,,,,,0.051,1901.0,0.199,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
,flacap,Monong062B,Monongahela National Forest,38.971,-79.649,Otter Creek Wilderness,89.0,1992.0,,6.828,129.064,0.78,605.045,1671.65,0.11,3219.0,,(L.) Hale,Yellow shield,,flacap,Flavoparmelia caperata
Platismatia glauca,plagla,1138176,Mt. Hood National Forest,45.25,-121.63,Mount Hood Wilderness,6.0,1996.0,1.02,2.76,681.9,0.45,790.0,1802.0,0.048,4500.0,-0.539,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Alectoria sarmentosa,alesar,1054136,Umpqua National Forest,43.19,-122.35,,6.0,2007.0,0.28,0.929,200.28,0.412,467.36,1806.3,0.032,4200.0,-0.316,(Ach.) Ach.,Goat's beard lichen,sensitive,alesar,Alectoria sarmentosa
Platismatia glauca,plagla,1102168,Deschutes National Forest,44.36,-121.79,,6.0,1996.0,,,,,,,0.043,5000.0,-0.318,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
Hypogymnia imshaugii,hypims,Temper,Wallowa-Whitman National Forest,45.502,-116.62,Hells Canyon Wilderness,6.0,2012.0,1.7,5.17,181.25,1.65,2109.4,5024.3,0.096,4536.0,,Krog,Tube lichen,tolerant,hypims,Hypogymnia imshaugii
Platismatia glauca,plagla,TNF500,Tongass N.F.,56.467,-134.078,Tebenkof Wilderness,10.0,2004.0,0.28,1.53,35.405,0.53,738.44,1810.6,0.067,3.0,-0.115,(L.) Culb. & C. Culb.,Rag lichen,most tolerant,,Platismatia glauca
